stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,coef,se,se_OLD,caption,new_caption,new_caption2,FIGURE,CR_P_RELIABLE,CR_Q_RELIABLE,ZERO
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",ind,Total,Total,9,"8.3,  9.7",0.39,"Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,1,1,1
Health status,Wrk_dys_miss,"Six or more workdays missed due to illness, injury, or disability",Number or Percentage,ind,(none),Total,"Six or more workdays missed due to illness, injury, or disability in the past 12 months is defined as a report of six or more workdays missed due to illness, injury, or disability by sample adults who a) worked for pay in the week prior to the interview, b) had a job or business in the week prior to the interview, but were temporarily absent, c) had seasonal or contract work for at least a few days in the past 12 months, or d) worked at a job or business but not for pay for at least a few days in the past 12 months.",ind,Total,Total,12,"10.9, 13.1",1.31,"Percentage of six or more workdays missed due to health in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Number of work days missed due to illness, injury, or disability was asked of adults who a) worked for pay in the week prior to the interview, b) had a job or business in the week prior to the interview, but were temporarily absent, c) had seasonal or contract work for at least a few days in the past 12 months, or d) worked at a job or business but not for pay for at least a few days in the past 12 months.",2,1,1,1
Health status,Asthma,Asthma episode,Number or Percentage,ind,(none),Total,Adults were asked if they had ever been told by a doctor or other health professional that they had asthma. Adults who had been told they had asthma were asked if they had an episode of asthma or an asthma attack during the past 12 months.,ind,Total,Total,3.5,"3.1,  4.0",,"Percentage of asthma episode in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked if they had ever been told by a doctor or other health professional that they had asthma. Adults who had been told they had asthma were asked if they had an episode of asthma or an asthma attack during the past 12 months.,3,1,1,1
Health status,Hypertension,Diagnosed hypertension,Number or Percentage,ind,(none),Total,Diagnosed hypertension is defined as report of hypertension or high blood pressure in the past 12 months or any medication use prescribed by a doctor for high blood pressure among adults.,ind,Total,Total,26.4,"25.3, 27.5",1.97,"Percentage of diagnosed hypertension in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Estimates include adults who had hypertension or high blood pressure in the past 12 months or were taking any medication prescribed by a doctor for high blood pressure.,4,1,1,1
Health status,Pain,Regularly experienced chronic pain,Number or Percentage,ind,(none),Total,Regularly experienced chronic pain is defined as report of having pain on most days or every day during the past 3 months.,ind,Total,Total,20.6,"19.6, 21.7",2.99,"Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked how often they had pain in the past 3 months: never, some days, most days, or every day. Chronic pain was defined as pain on most days or every day in the past 3 months.",5,1,1,1
Health status,Anxious,"Regularly had feelings of worry, nervousness, or anxiety",Number or Percentage,ind,(none),Total,"Regularly had feelings of worry, nervousness, or anxiety is defined as report of a) feeling worried, nervous, or anxious daily and describing the level of those feelings as ""somewhere in between a little and a lot"" or ""a lot"" or b) feeling worried, nervous, or anxious weekly and describing the level of those feelings as ""a lot.""",ind,Total,Total,11.1,"10.3, 12.0",4.43,"Percentage of regularly having feelings of worry, nervousness, or anxiety for adults aged 18 and over (95% confidence intervals), United States",,"Estimates include adults who a) felt worried, nervous, or anxious daily and described the level of those feelings as ""somewhere in between a little and a lot"" or ""a lot"" or b) felt worried, nervous, or anxious weekly and described the level of those feelings as ""a lot.""",6,1,1,1
Health status,Depressed,Regularly had feelings of depression,Number or Percentage,ind,(none),Total,"Regularly had feelings of depression is defined as report of a) feeling depressed daily and describing the level of depression as ""somewhere in between a little and a lot"" or ""a lot"" or b) feeling depressed weekly and describing the level of depression as ""a lot.""",ind,Total,Total,4.6,"4.2,  5.1",0.75,"Percentage of regularly having feelings of depression for adults aged 18 and over (95% confidence intervals), United States",,"Estimates include adults who felt depressed daily and described the level of depression as ""somewhere in between a little and a lot"" or ""a lot"" or b) felt depressed weekly and described the level of depression as ""a lot.""",7,1,1,1
Health care service use,Doc_visit,Doctor visit,Number or Percentage,ind,(none),Total,Adults were asked about how long it had been since they last saw a doctor or other health professional about their health.,ind,Total,Total,84.7,"83.7, 85.6",0.89,"Percentage of doctor visit in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last saw a doctor or other health professional about their health.,8,1,1,1
Health care service use,ER_visit,Hospital emergency department visit,Number or Percentage,ind,(none),Total,Adults were asked how many times they had gone to a hospital emergency room about their health in the past 12 months.,ind,Total,Total,21.9,"20.9, 22.9",0.46,"Percentage of hospital emergency department visit in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked how many times they had gone to a hospital emergency department about their health in the past 12 months.,9,1,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",ind,Total,Total,9.6,"8.9, 10.4",0.57,"Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,1,1,1
